,,,,,Ultraserv Automated Services,,,
,,,,,"16722 Parkside Ave, ",,,
,,,,,"Cerritos, CA, 90703",,,
Product Rank Report,,,,,,,,
,,,,,,,,
Start Date,,End Date,,Report Date,,,,
2025-12-01,,2025-12-31,,12-23-2025 04:09:58 PST,,,,
,,,,,,,,
Rank,Item Description,Item #,Category,Quantity,Quantity(Previous period),Difference,Status,Amount
127,FR SLB Triangle Turkey Wheat,AVR26226,Fresh Food,174,261,-87,▼,1226.49
128,El Monterey Egg Sausage Cheese & Potato Burrito,PC16506,Frozen Food,173,297,-124,▼,586.38
129,Lays Original 2.25oz,AVR00145,Chips,171,308,-137,▼,1032.25
130,Grandmas Chocolate Chip Cookie,PC10946,Cookies & Crackers,170,347,-177,▼,620.89
131,Sprite 12oz,PC16249,Bev 12 Oz Can,169,206,-37,▼,125.8
132,Aquafina Aluminum Bottle 16oz,AVR20530,Bev Water,168,276,-108,▼,1129
133,Scope Mouthwash,PC11054,Sundry Items,166,214,-48,▼,1174.5
134,RXBAR Protein Blueberry,AVR15125,Healthy Bars,165,256,-91,▼,821.63
135,String Cheese Frigo,PC10765,Fresh,165,253,-88,▼,205.44
136,Fanta Orange 20oz,PC10796,Bev 20 Oz Bottle,164,322,-158,▼,762.15
137,Dunkin Donuts French Vanilla 13.7 oz,PC11162,Bev Coffee & Tea,163,244,-81,▼,1001.09
138,Powerade Zero Mixed Berry 20oz,PC10824,Bev 20 Oz Bottle,162,238,-76,▼,897.25
139,Cliff Bar Chocolate Chip,PC10899,Healthy Bars,162,296,-134,▼,754.85
140,Boulder Hickory BBQ Chips,PC10876,Chips,162,266,-104,▼,551.58
141,Chex Mix,PC10895,Snack,160,250,-90,▼,469.13
142,Jack Links Original,PC10961,Snack,157,270,-113,▼,713.93
143,Takis Fuego,PC11084,Chips,155,292,-137,▼,508.01
144,Canada Dry Ginger Ale 12oz,PC14010,Bev 12 Oz Can,154,152,2,▲,182.89
145,Proud Source Alkaline Spring Water 16Oz,AVR17375,Bev Water,151,68,83,▲,944.72
