,,,,,,,,,,,,,,,,Ultraserv Automated Services
,,,,,,,,,,,,,,,,"16722 Parkside Ave, "
,,,,,,,,,,,,,,,,"Cerritos, CA, 90703"
Sales By Products Report,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Date,,,,End Date,,,,,,,,,,,Report Date,
2025-09-01,,,,2025-09-30,,,,,,,,,,,12-02-2025 20:51:57 PST,
,,,,,,,,,,,,,,,,
Micromarket,Product,Category,Cost,Selling Price,Total Sold,Total Sales,Sales Tax,Container Deposit,Other Tax,Other Fees,COGS,Subsidy,Gift Amount,Gross Sales,Total COGS,
Holiday Inn Diamond Bar-Pomona,Coke 20oz,Bev 20 Oz Bottle,1.27,2.4,1,2.4,0.23,0.05,0,0,1.27,,0,2.68,1.55,
Holiday Inn Diamond Bar-Pomona,Coke 20oz,Bev 20 Oz Bottle,1.27,4,16,64,6.24,0.8,0,0,20.32,,0,71.04,27.36,
Holiday Inn Diamond Bar-Pomona,Coke 20oz,Bev 20 Oz Bottle,1.28,2.4,7,16.8,1.64,0.35,0,0,8.96,,0,18.79,10.95,
Holiday Inn Diamond Bar-Pomona,Coke 20oz,Bev 20 Oz Bottle,1.28,4,24,96,9.36,1.2,0,0,30.72,,0,106.56,41.28,
Motel 6 Buena Park,Coke 20oz,Bev 20 Oz Bottle,1.27,2.55,1,2.55,0.22,0.05,0,0,1.27,,0,2.82,1.54,
Motel 6 Buena Park,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,6,25.5,2.23,0.3,0,0,7.62,,0,28.03,10.15,
Motel 6 Buena Park,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,26,110.5,9.67,1.3,0,0,33.28,,0,121.47,44.25,
Best Western Diamond Bar,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,1,4.25,0.41,0.05,0,0,1.27,,0,4.71,1.73,
Best Western Diamond Bar,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,4,17,1.66,0.2,0,0,5.12,,0,18.86,6.98,
Best Western Plus LAX Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,2,5.1,0.52,0.1,0,0,2.56,,0,5.72,3.18,
Best Western Plus LAX Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,2,8.5,0.87,0.1,0,0,2.56,,0,9.47,3.53,
Kings Inn Anaheim Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,13,55.25,4.28,0.65,0,0,16.51,,0,60.18,21.44,
Kings Inn Anaheim Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,5,12.75,0.99,0.25,0,0,6.4,,0,13.99,7.64,
Kings Inn Anaheim Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,29,123.25,9.55,1.45,0,0,37.12,,0,134.25,48.12,
Best Western Plus Pavilions,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,5,21.25,1.65,0.25,0,0,6.35,,0,23.15,8.25,
Best Western Plus Pavilions,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,5,21.25,1.65,0.25,0,0,6.4,,0,23.15,8.3,
Best Western Plus Park Place Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.27,5,21,105,8.14,1.05,0,0,26.67,,0,114.19,35.86,
Best Western Plus Park Place Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,3,2,6,0.47,0.1,0,0,2.56,,0,6.56,3.12,
Best Western Plus Park Place Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,5,48,240,18.6,2.4,0,0,61.44,,0,261,82.44,
Best Western Plus Stovall's Inn,Coke 20oz,Bev 20 Oz Bottle,1.27,3,1,3,0.23,0.05,0,0,1.27,,0,3.28,1.55,
Best Western Plus Stovall's Inn,Coke 20oz,Bev 20 Oz Bottle,1.27,5,13,65,5.04,0.65,0,0,16.51,,0,70.69,22.2,
Best Western Plus Stovall's Inn,Coke 20oz,Bev 20 Oz Bottle,1.28,3,1,3,0.23,0.05,0,0,1.28,,0,3.28,1.56,
