Micromarket,User Name,Date,Product Code,Product,Category,Change Type,Cost,Quantity,Total Product cost,Product price,Total Product Price,Site,TotalCost
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR26221,FR SLB Thai Beef Pinwheels 9oz,Fresh Food,Shrinkage,4.12,1.0,4.12,14.49,14.49,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR19517,Anker Power Port 32W Wall Charger,Electronics,Shrinkage,9.02,2.0,18.04,20.99,41.98,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR26240,FR Fruit Mixed,Fresh Food,Shrinkage,2.75,1.0,2.75,9.49,9.49,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR26230,FR SLB Triangle Egg Salad Wheat,Fresh Food,Shrinkage,1.99,1.0,1.99,8.99,8.99,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,AVR26220,FR SLB Multigrain Turkey & Bacon Club,Fresh Food,Shrinkage,3.49,1.0,3.49,12.99,12.99,,
The Westin Long Beach,Eduardo Velasco,2025-12-08,PC10751,FR SLB Triangle Club Wheat,Fresh Food,Shrinkage,2.64,1.0,2.64,8.99,8.99,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC16523,Dolly Madison Golden Cream Cake,Pastry,Spoilage,0.74,3.0,2.22,3.75,11.25,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC16523,Dolly Madison Golden Cream Cake,Pastry,Spoilage,0.71,4.0,2.84,3.75,15.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10732,Chobani Peach,Fresh,Spoilage,1.35,1.0,1.35,4.5,4.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10732,Chobani Peach,Fresh,Shrinkage,1.35,1.0,1.35,4.5,4.5,,
The Westin Long Beach,Emmanuel Ortiz,2025-12-08,PC10730,Chobani Blueberry,Fresh,Spoilage,1.35,2.0,2.7,4.5,9.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10732,Chobani Peach,Fresh,Spoilage,1.35,4.0,5.4,4.5,18.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10732,Chobani Peach,Fresh,Spoilage,1.37,3.0,4.11,4.5,13.5,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10730,Chobani Blueberry,Fresh,Spoilage,1.39,1.0,1.39,4.5,4.5,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10730,Chobani Blueberry,Fresh,Spoilage,1.35,2.0,2.7,4.5,9.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10730,Chobani Blueberry,Fresh,Shrinkage,1.35,1.0,1.35,4.5,4.5,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10730,Chobani Blueberry,Fresh,Spoilage,1.35,2.0,2.7,4.5,9.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10761,Lunchables Ham & Cheddar,Fresh,Spoilage,2.08,2.0,4.16,6.5,13.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10733,Chobani Strawberry,Fresh,Spoilage,1.35,4.0,5.4,4.5,18.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10733,Chobani Strawberry,Fresh,Spoilage,1.35,1.0,1.35,4.5,4.5,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10762,Lunchables Turkey & Cheddar,Fresh,Spoilage,2.03,7.0,14.21,6.5,45.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10811,Monster Zero Ultra 16oz,Bev Energy Drinks,Shrinkage,1.59,14.0,22.26,6.75,94.5,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10925,Dolly Madison Chocolate Cupcakes,Pastry,Spoilage,0.79,1.0,0.79,3.75,3.75,,
The Westin Long Beach,Rony Perez,2025-12-08,PC14016,Gatorade Zero Glacier Freeze 20oz,Bev 20 Oz Bottle,Shrinkage,1.33,27.0,35.91,6.75,182.25,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC11026,Otis Muffin Wild Blueberry,Pastry,Spoilage,0.89,1.0,0.89,3.75,3.75,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC11024,Otis Muffin Banana Nut,Pastry,Spoilage,0.88,3.0,2.64,3.75,11.25,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC11026,Otis Muffin Wild Blueberry,Pastry,Spoilage,0.94,5.0,4.7,3.75,18.75,,
