Location,Product ID,Quantity_Start,Quantity_End,Total_Depletion,Sales_Quantity,Sales_Value,Known_Adjustments_Qty,Shrinkage_Qty,Implied_Unit_Price,Shrinkage_Value
Stock,AVR19412,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.5,27.5
Stock,AVR19421,10.0,5.0,5.0,0.0,0.0,0.0,5.0,4.842595419847328,24.21297709923664
Stock,AVR25513,15.0,10.0,5.0,0.0,0.0,0.0,5.0,4.063098591549296,20.31549295774648
Stock,AVR26212,9.0,4.0,5.0,0.0,0.0,0.0,5.0,9.928888888888888,49.644444444444446
Stock,AVR26222,6.0,1.0,5.0,0.0,0.0,0.0,5.0,10.62,53.099999999999994
Stock,PC10882,10.0,5.0,5.0,0.0,0.0,0.0,5.0,4.0625,20.3125
Stock,PC10941,7.0,2.0,5.0,0.0,0.0,0.0,5.0,6.645381679389312,33.22690839694656
Stock,PC10943,11.0,6.0,5.0,0.0,0.0,0.0,5.0,5.603146853146853,28.015734265734267
Stock,PC10984,13.0,8.0,5.0,0.0,0.0,0.0,5.0,3.602011385199241,18.010056925996206
Stock,PC16485,13.0,8.0,5.0,0.0,0.0,0.0,5.0,4.392352941176471,21.961764705882352
Stock,PC16496,5.0,0.0,5.0,0.0,0.0,0.0,5.0,4.181666666666667,20.90833333333333
Stock,PC21237,10.0,5.0,5.0,0.0,0.0,0.0,5.0,5.079411764705882,25.39705882352941
Stock,AVR08848,6.0,2.0,4.0,0.0,0.0,0.0,4.0,3.0740697674418604,12.296279069767442
Stock,AVR19286,7.0,3.0,4.0,0.0,0.0,0.0,4.0,5.826923076923077,23.307692307692307
Stock,AVR19514,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Stock,AVR26225,5.0,1.0,4.0,0.0,0.0,0.0,4.0,9.606923076923078,38.42769230769231
Stock,PC10856,10.0,6.0,4.0,0.0,0.0,0.0,4.0,5.833928571428571,23.335714285714285
Stock,PC10880,9.0,5.0,4.0,0.0,0.0,0.0,4.0,5.517857142857143,22.071428571428573
Stock,PC10901,10.0,6.0,4.0,0.0,0.0,0.0,4.0,4.66,18.64
Stock,PC10947,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0516000000000005,16.206400000000002
Stock,PC11018,4.0,0.0,4.0,0.0,0.0,0.0,4.0,1.4677777777777778,5.871111111111111
Stock,PC11156,18.0,14.0,4.0,0.0,0.0,0.0,4.0,5.269047619047619,21.076190476190476
Stock,PC16250,6.0,2.0,4.0,0.0,0.0,0.0,4.0,0.7363636363636363,2.9454545454545453
Stock,AVR19406,8.0,5.0,3.0,0.0,0.0,0.0,3.0,7.161714285714286,21.485142857142858
Stock,AVR19407,13.0,10.0,3.0,0.0,0.0,0.0,3.0,8.73611111111111,26.208333333333332
Stock,AVR19510,11.0,8.0,3.0,0.0,0.0,0.0,3.0,6.178082191780822,18.534246575342465
Stock,AVR20457,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
Stock,AVR22118,11.0,8.0,3.0,0.0,0.0,0.0,3.0,4.780394736842105,14.341184210526315
Stock,AVR25675,8.0,5.0,3.0,0.0,0.0,0.0,3.0,6.7592592592592595,20.27777777777778
Stock,AVR25677,6.0,3.0,3.0,0.0,0.0,0.0,3.0,5.446428571428571,16.339285714285715
Stock,PC00887,20.0,17.0,3.0,0.0,0.0,0.0,3.0,4.429695024077046,13.289085072231138
Stock,PC10761,8.0,5.0,3.0,0.0,0.0,0.0,3.0,3.401111111111111,10.203333333333333
Stock,PC10891,15.0,12.0,3.0,0.0,0.0,0.0,3.0,3.189061488673139,9.567184466019416
Stock,PC10892,8.0,5.0,3.0,0.0,0.0,0.0,3.0,3.286865671641791,9.860597014925373
Stock,PC10895,6.0,3.0,3.0,0.0,0.0,0.0,3.0,3.17679012345679,9.53037037037037
Stock,PC10924,3.0,0.0,3.0,0.0,0.0,0.0,3.0,4.077142857142857,12.231428571428573
Stock,PC10962,9.0,6.0,3.0,0.0,0.0,0.0,3.0,4.783589743589743,14.350769230769227
Stock,PC10987,15.0,12.0,3.0,0.0,0.0,0.0,3.0,4.0,12.0
Stock,PC11002,6.0,3.0,3.0,0.0,0.0,0.0,3.0,6.086956521739131,18.26086956521739
